rank,score,team,org,finish_time
1323,0.544171,rupam1.24,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 21:28:34+05:30
1324,0.543871,drishtymainani4,"Indian Institute of Management (IIM), Indore",2026-06-29 18:44:47+05:30
1325,0.543486,Mephisto,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 11:56:21+05:30
1326,0.543414,MOEC Audi,Indian School of Business (ISB),2026-07-04 03:47:05+05:30
1327,0.543143,23je0187,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 21:34:46+05:30
1328,0.542357,sathvik.260101281,"Indian Institute of Management (IIM), Mumbai",2026-06-29 23:05:27+05:30
1329,0.542286,M3,"Indian Institute of Management (IIM), Mumbai",2026-06-30 12:24:21+05:30
1330,0.542071,RandomVariable,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 11:27:59+05:30
1331,0.541771,IITians,"Indian Institute of Technology (IIT), Kanpur",2026-06-28 10:46:47+05:30
1332,0.541643,som.amex,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-03 16:18:38+05:30
1333,0.541271,Zenith,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-01 23:07:16+05:30
1334,0.5408,23je0198,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 21:22:54+05:30
1335,0.540629,pgp26.mridul,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 18:12:12+05:30
1336,0.5402,Maverick,Xavier School of Management (XLRI),2026-07-04 16:39:24+05:30
1337,0.539971,Stratex,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 16:47:18+05:30
1338,0.539857,Strategy Trackers,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 16:10:03+05:30
1339,0.5397,D.U.A,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:16:53+05:30
1340,0.5394,Onyx Strategy,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-03 14:14:28+05:30
1341,0.538986,vaishnavisheoran1,"Indian Institute of Technology (IIT), Mandi",2026-07-02 20:08:06+05:30
1342,0.538771,Team_IITK,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 02:23:12+05:30
1343,0.5384,FireBall,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 23:34:30+05:30
1344,0.538114,The Blue Box Strategy,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 03:56:15+05:30
1345,0.538,The Profit Duo,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 01:04:41+05:30
1346,0.537571,ScaleUp,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 01:07:01+05:30
1347,0.537457,stars,"Indian Institute of Technology (IIT), Indore",2026-06-28 12:46:15+05:30
1348,0.5371,sirisharaj05,Chennai Mathematical Institute,2026-07-01 23:41:05+05:30
1349,0.536557,Kairos,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 23:20:51+05:30
1350,0.536186,adityasgh23,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:49:02+05:30
1351,0.535957,dragon,"Indian Institute of Management (IIM), Bangalore",2026-07-01 09:28:27+05:30
1352,0.535843,emamaislam14,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 12:15:49+05:30
1353,0.535686,Outliers,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 11:08:05+05:30
1354,0.535614,samp231004,"Indian Institute of Management (IIM), Mumbai",2026-07-03 14:07:50+05:30
1355,0.534771,Hustlers,"Indian Institute of Management (IIM), Indore",2026-06-28 11:09:10+05:30
1356,0.534329,Amravati Express,"Indian Institute of Technology (IIT), Madras",2026-06-30 17:33:13+05:30
1357,0.533729,Boardroom Bound,Indian School of Business (ISB),2026-07-04 01:23:06+05:30
1358,0.533629,Route 1850,"Indian Institute of Management (IIM), Mumbai",2026-06-30 18:37:15+05:30
1359,0.532643,varshinigiri,Indian School of Business (ISB),2026-07-04 20:10:25+05:30
1360,0.532371,NeuralFlow,"Indian Institute of Management (IIM), Lucknow",2026-07-02 00:58:44+05:30
1361,0.532086,Achievers,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 17:49:34+05:30
1362,0.531986,StratWizards,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-06-30 01:55:59+05:30
1363,0.531929,A-Max,"Indian Institute of Management (IIM), Lucknow",2026-07-03 21:57:55+05:30
1364,0.531243,Band4Band,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 18:29:22+05:30
1365,0.531086,Team casanova,"Indian Institute of Management (IIM), Mumbai",2026-06-30 17:39:16+05:30
1366,0.530229,future proof,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:15:06+05:30
1367,0.529957,Phoenix,"Indian Institute of Management (IIM), Lucknow",2026-07-04 11:41:11+05:30
1368,0.529471,Spam,"Indian Institute of Management (IIM), Kozhikode",2026-07-01 23:46:16+05:30
1369,0.5294,kanpur ki baddies,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 15:13:56+05:30
1370,0.529114,The_Strategist,"Indian Institute of Management (IIM), Bangalore",2026-07-01 23:23:20+05:30
1371,0.5284,adarsh22chauhan,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 17:13:26+05:30
1372,0.526886,lenschangekrdo,"Indian Institute of Technology (IIT), Kharagpur",2026-06-28 18:25:26+05:30
1373,0.526571,creatorclub66,"Indian Institute of Management (IIM), Ahmedabad",2026-07-02 00:03:17+05:30
1374,0.526371,Charlie,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 19:45:32+05:30
1376,0.525329,krishmesariya13,"Indian Institute of Technology (IIT), Kanpur",2026-06-30 02:35:23+05:30
1377,0.5252,bansalradhika0902,"Indian Institute of Technology (IIT), Bombay",2026-06-29 16:30:28+05:30
1378,0.5247,StratX,"Indian Institute of Management (IIM), Mumbai",2026-07-03 14:52:02+05:30
1379,0.524043,cs24btech11036,"Indian Institute of Technology (IIT), Hyderabad",2026-06-29 21:17:22+05:30
1380,0.523686,PanicMode,"Indian Institute of Management (IIM), Bangalore",2026-07-04 15:32:16+05:30
1381,0.523414,SirReymannIsBored,"Indian Institute of Technology (IIT), Bombay",2026-07-04 11:41:24+05:30
1382,0.523057,Pragmatix,"Indian Institute of Management (IIM), Mumbai",2026-07-01 10:30:12+05:30
1383,0.522429,SOAP,"Indian Institute of Management (IIM), Mumbai",2026-07-01 14:51:58+05:30
1384,0.522386,Case Crafters,"Indian Institute of Management (IIM), Mumbai",2026-07-03 12:20:01+05:30
1385,0.522,vraj62023,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 21:06:17+05:30
1386,0.521986,Poatan,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 17:21:22+05:30
1387,0.520914,sra is the best,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 23:38:53+05:30
1388,0.520643,D-School Rangers,"Delhi School of Economics (DSE), New Delhi",2026-07-04 17:10:38+05:30
1389,0.520443,backbenchers,Indira Gandhi Institute of Development Research,2026-06-30 23:36:29+05:30
1390,0.5194,Timepass,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-06-30 20:32:04+05:30
1391,0.519057,Trinetra,"Indian Institute of Technology (IIT), Indore",2026-07-04 13:42:33+05:30
1392,0.518343,more.ananda,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 23:51:49+05:30
1393,0.518243,Americano,"Xavier School of Management (XLRI), Jamshedpur",2026-06-30 03:37:36+05:30
1393,0.518243,Syltherin,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 19:06:20+05:30
1394,0.518229,PVP MBA 26,"Indian Institute of Management (IIM), Mumbai",2026-07-02 16:37:29+05:30
1395,0.517957,whatjusthappened,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 15:49:34+05:30
1396,0.517214,siddharth_c1,"Indian Institute of Technology (IIT), Roorkee",2026-06-29 23:13:02+05:30
1397,0.516529,Beyond numbers!,"Indian Institute of Management (IIM), Mumbai",2026-07-02 00:01:02+05:30
1397,0.516529,Alpha Zero,"Faculty of Management Studies (FMS), University of Delhi, New Delhi",2026-07-02 02:18:12+05:30
1398,0.516114,Decision Architects,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 13:49:36+05:30
1399,0.516,s.vatsalya,"Indian Institute of Technology (IIT), Guwahati",2026-07-01 22:16:05+05:30
1400,0.515729,FCB,"Vinod Gupta School of Management (VGSoM), Indian Institute of Technology (IIT), Kharagpur",2026-07-03 23:32:02+05:30
1401,0.514743,saketkumarsingh,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 10:59:03+05:30
1402,0.514529,Frontrunners,"Management Development Institute (MDI), Gurgaon",2026-07-04 13:55:50+05:30
1403,0.514071,Kaizen,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 14:57:11+05:30
1404,0.513657,Rathi Ji,Chennai Mathematical Institute,2026-07-03 23:42:09+05:30
1405,0.5135,riya.khera25,"Indian Institute of Management (IIM), Bangalore",2026-07-04 07:45:45+05:30
1406,0.513071,unstabledawgs,"Indian Institute of Technology (IIT), Roorkee",2026-07-01 22:48:28+05:30
1407,0.512443,Loanwulf,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 16:52:06+05:30
1408,0.511386,Case_Crunchers,"Indian Institute of Management (IIM), Mumbai",2026-07-01 01:54:05+05:30
1409,0.510843,The strategist,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 01:26:28+05:30
1410,0.510657,Strategy Syndicate,"Indian Institute of Management (IIM), Bangalore",2026-06-30 02:40:24+05:30
1411,0.509943,SomeHow,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 16:22:24+05:30
1412,0.508271,Team,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 15:57:39+05:30
1413,0.508014,Triad Strategists,"Indian Institute of Management (IIM), Mumbai",2026-07-04 00:10:21+05:30
1414,0.507729,geeked_out,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 13:38:11+05:30
1415,0.507714,Prabhav_Pradeep,"Indian Institute of Technology (IIT), Hyderabad",2026-07-03 15:25:21+05:30
1416,0.5069,real_iitian69,"Indian Institute of Technology (IIT), Bombay",2026-07-03 17:05:16+05:30
1417,0.506871,Insight Syndicate,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 23:15:36+05:30
1418,0.506,Raghav Mittal,Indian School of Business (ISB),2026-07-03 07:29:57+05:30
1419,0.505614,Centurion Syndicate,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 11:46:13+05:30
1420,0.505357,LESSGOOO,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 13:01:42+05:30
1421,0.505257,defaulters,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 00:05:25+05:30
1422,0.505071,KashUp,"Management Development Institute (MDI), Gurgaon",2026-07-02 21:30:40+05:30
1423,0.505043,Outliers,"Indian Institute of Management (IIM), Mumbai",2026-07-03 17:57:32+05:30
1424,0.504871,khyati.arora,"Indian Institute of Technology (IIT), Guwahati",2026-07-01 17:35:23+05:30
1425,0.504571,AMEX IIMM,"Indian Institute of Management (IIM), Mumbai",2026-07-01 17:01:40+05:30
1426,0.5045,The Trivium,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 22:14:30+05:30
1427,0.503971,seema9verma,Indian School of Business (ISB),2026-07-04 20:17:02+05:30
1428,0.503957,Smarties,"Indian Institute of Management (IIM), Lucknow",2026-07-03 19:27:58+05:30
1429,0.503871,2023ceb1038,"Indian Institute of Technology (IIT), Ropar",2026-07-04 15:32:10+05:30
1430,0.5037,TheCardStrategy,"Delhi School of Economics (DSE), New Delhi",2026-07-04 00:41:15+05:30
1432,0.503443,f20241286,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 01:06:09+05:30
1433,0.503257,Team BluePrint,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-04 11:54:23+05:30
1434,0.503157,Stratify,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 01:14:27+05:30
1435,0.502129,Parallax,"Indian Institute of Management (IIM), Calcutta",2026-07-04 02:57:28+05:30
1436,0.501786,me24b023,"Indian Institute of Technology (IIT), Madras",2026-07-04 17:59:50+05:30
1437,0.5015,Team X,"Management Development Institute (MDI), Gurgaon",2026-07-04 01:01:53+05:30
1438,0.501043,Strategy_Wizards,"Management Development Institute (MDI), Gurgaon",2026-07-03 14:43:18+05:30
1439,0.500943,Tartarus,"Faculty of Management Studies (FMS), University of Delhi, New Delhi",2026-06-30 02:21:01+05:30
1440,0.500729,StrategyX,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-01 22:51:22+05:30
1441,0.500514,mandark24,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 03:24:44+05:30
1442,0.5004,annonymity123,"Indian Institute of Technology (IIT), Delhi",2026-07-03 12:46:23+05:30
1443,0.500171,arjunsg1911,"Indian Institute of Management (IIM), Calcutta",2026-07-04 18:14:54+05:30
1444,0.499857,Amex,"Indian Institute of Management (IIM), Calcutta",2026-07-04 16:11:01+05:30
1445,0.499429,projit.deb034,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:27:38+05:30
1446,0.499414,rishi.gupta085,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:37:22+05:30
1447,0.4993,24je0933,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-02 03:23:46+05:30
1448,0.4991,Random Variables,"Indian Institute of Management (IIM), Lucknow",2026-07-04 18:09:54+05:30
1449,0.498757,ACERS,"Madras School of Economics (MSE), Chennai",2026-07-03 15:11:54+05:30
1450,0.497643,Bottom Line,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 02:51:45+05:30
1451,0.497443,DJ,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 10:35:00+05:30
1452,0.497371,kmutreja65,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:18:54+05:30
1453,0.495543,kavyanagar,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 02:11:29+05:30
1454,0.495286,f20221606,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 18:48:37+05:30
1455,0.494729,22je0327,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 04:07:28+05:30
1456,0.494671,Arrowez,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 14:26:31+05:30
1457,0.4943,2023mcb1312,"Indian Institute of Technology (IIT), Ropar",2026-07-04 19:01:29+05:30
1458,0.4942,Trimax,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 23:20:19+05:30
1459,0.493729,pgp41504,"Indian Institute of Management (IIM), Lucknow",2026-07-04 13:41:47+05:30
1460,0.493386,siya18sarda,"Indian Institute of Technology (IIT), Bombay",2026-07-04 19:03:24+05:30
1461,0.492429,The Strategists,"Indian Institute of Technology (IIT), Indore",2026-07-01 09:16:52+05:30
1462,0.4916,Case Masters,"Management Development Institute (MDI), Gurgaon",2026-07-03 12:27:49+05:30
1463,0.491386,amidx,"Indian Institute of Technology (IIT), Roorkee",2026-06-30 21:10:30+05:30
1464,0.491343,pgp25.ananya,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 10:12:40+05:30
1465,0.491186,Credit Slashers,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 21:52:46+05:30
1466,0.490686,TeamHaikyuu,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 17:23:14+05:30
1467,0.490129,Pain&Co.,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 11:44:16+05:30
1468,0.489186,Lorem Ipsum,"Indian Institute of Management (IIM), Mumbai",2026-07-01 23:24:57+05:30
1469,0.489071,adilasap12,"Indian Institute of Technology (IIT), Delhi",2026-06-30 21:11:06+05:30
1470,0.488757,Black Swans,"Indian Institute of Management (IIM), Mumbai",2026-07-01 23:59:07+05:30
1471,0.488357,Rta,"Indian Institute of Management (IIM), Mumbai",2026-07-01 21:07:12+05:30
1472,0.4856,rishika.260101254,"Indian Institute of Management (IIM), Mumbai",2026-07-02 01:02:11+05:30
1473,0.485457,Team ASS,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 10:50:06+05:30
1474,0.483457,A10 Strategy,"Indian Institute of Technology (IIT), Madras",2026-07-02 16:11:22+05:30
1475,0.482329,Vr ngs,"Indian Institute of Technology (IIT), Bombay",2026-06-30 12:24:14+05:30
1476,0.482214,rishirkj23,"Indian Institute of Management (IIM), Lucknow",2026-07-04 20:34:30+05:30
1477,0.4818,atul.jha.min22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-02 22:19:05+05:30
1478,0.480729,ed24b013,"Indian Institute of Technology (IIT), Madras",2026-07-04 00:15:47+05:30
1479,0.480657,koppoallikhita,"Indian Institute of Management (IIM), Mumbai",2026-07-01 23:33:09+05:30
1480,0.478857,mpragya1001,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 15:28:02+05:30
1481,0.478571,DIFTP,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:44:51+05:30
1482,0.4777,sindhwaniraghav5,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 21:01:36+05:30
1483,0.477371,NeonLights,"Indian Institute of Technology (IIT), Roorkee",2026-07-02 17:52:30+05:30
1484,0.476014,Databreakers,"Indian Institute of Technology (IIT), Madras",2026-07-04 12:32:27+05:30
1485,0.474857,Amexican,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 15:49:11+05:30
1486,0.474457,Statics,"Indian Institute of Management (IIM), Lucknow",2026-07-03 01:49:24+05:30
1487,0.474329,Pushin' P,"Xavier School of Management (XLRI), Delhi",2026-07-03 18:58:25+05:30
1488,0.473586,Team Diamonds,Xavier School of Management (XLRI),2026-07-04 20:12:02+05:30
1489,0.4729,EXPERTS,"Indian Institute of Technology (IIT), Mandi",2026-07-03 20:11:09+05:30
1490,0.472343,Pitchers,"Indian Institute of Management (IIM), Mumbai",2026-06-30 00:36:22+05:30
1491,0.472257,megha1182000,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 18:43:08+05:30
1492,0.472129,Amex123,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 15:17:46+05:30
1493,0.471,sumitkumar051204,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 01:52:15+05:30
1494,0.4702,Chellengers,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:35:39+05:30
1495,0.469614,hope,"Indian Institute of Technology (IIT), Kanpur",2026-06-30 17:10:59+05:30
1496,0.468543,alpha3,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 02:06:36+05:30
1497,0.4675,Pookie pandas,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 20:38:25+05:30
1498,0.4661,Snickers,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 17:34:11+05:30
1499,0.464029,raunakkhetan470,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 13:15:32+05:30
1500,0.463671,Amaxxing,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 13:51:40+05:30
1501,0.463357,23b0396,"Indian Institute of Technology (IIT), Bombay",2026-07-02 00:06:01+05:30
1502,0.462429,IGNITERS,"Indian Institute of Management (IIM), Mumbai",2026-07-01 19:22:52+05:30
1503,0.461243,AMEXCHAMPS,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 18:44:53+05:30
1504,0.460814,Kraken,"Indian Institute of Management (IIM), Mumbai",2026-07-04 18:24:07+05:30
1505,0.460671,Twenty Four,"Indian Institute of Management (IIM), Mumbai",2026-07-04 12:37:31+05:30
1506,0.460357,Fanatics: The Revenge,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 14:35:48+05:30
1507,0.4588,Meridian,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 18:47:08+05:30
1508,0.458371,f20230667,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 14:49:39+05:30
1509,0.457943,Maitrix,"Vinod Gupta School of Management (VGSoM), Indian Institute of Technology (IIT), Kharagpur",2026-07-03 21:46:35+05:30
1510,0.457014,Msceco_igidr,Indira Gandhi Institute of Development Research,2026-07-02 08:39:26+05:30
1511,0.455586,Konsultants,Indian School of Business (ISB),2026-06-28 10:57:48+05:30
1512,0.455243,CatalystX,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 14:58:59+05:30
1513,0.4546,HalfGlassFull,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-01 15:06:39+05:30
1514,0.453029,The Vanguards,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 13:23:41+05:30
1515,0.451771,analysers,"Indian Institute of Technology (IIT), Indore",2026-06-30 16:33:59+05:30
1516,0.450871,pgp25.surabhi,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 12:41:03+05:30
1517,0.450057,QuantCatalyst,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 14:51:53+05:30
1518,0.450029,StratMavericks,"Management Development Institute (MDI), Gurgaon",2026-07-03 16:30:55+05:30
1519,0.449786,Outside The Blue Box,"Indian Institute of Management (IIM), Lucknow",2026-07-03 02:09:05+05:30
1520,0.448986,Insight Syndicate,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 18:33:24+05:30
1521,0.448314,ElevateX,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 02:47:22+05:30
1522,0.447714,ProdThinkers,"Indian Institute of Technology (IIT), Madras",2026-07-02 00:34:54+05:30
1523,0.446629,aravindreddyg0902,"Indian Institute of Management (IIM), Mumbai",2026-07-01 23:45:32+05:30
1524,0.445514,WePutTheCinCase,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 17:10:07+05:30
1525,0.443957,alphabeta,"Indian Institute of Technology (IIT), Mandi",2026-07-03 15:10:56+05:30
1526,0.442843,prahladha,"Indian Institute of Technology (IIT), Hyderabad",2026-06-30 07:15:47+05:30
1527,0.439243,Xcelerators,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 00:48:21+05:30
1528,0.4382,Dreamers,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 17:53:55+05:30
1529,0.437371,Synergy,"Indian Institute of Management (IIM), Mumbai",2026-07-01 12:37:42+05:30
1530,0.437029,Stratos,"Indian Institute of Management (IIM), Mumbai",2026-07-01 18:01:45+05:30
1531,0.436929,core_group,"Indian Institute of Management (IIM), Mumbai",2026-07-01 22:46:26+05:30
1532,0.436771,sheeps,"Indian Institute of Technology (IIT), Bombay",2026-07-02 00:42:40+05:30
1533,0.434357,akshayh,"Birla Institute of Technology & Science, Pilani Campus",2026-06-29 14:58:19+05:30
1534,0.433686,Seekers,"Indian Institute of Technology (IIT), Bombay",2026-07-04 18:15:39+05:30
1535,0.433257,StratBank,"Indian Institute of Management (IIM), Mumbai",2026-07-03 18:31:26+05:30
1536,0.432557,genesis,"Indian Institute of Technology (IIT), Roorkee",2026-06-30 01:59:06+05:30
1537,0.430486,learning deep,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 23:47:19+05:30
1538,0.429814,Moat Masters,"Indian Institute of Management (IIM), Lucknow",2026-07-04 19:55:53+05:30
1539,0.429471,Team TRP,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 13:18:33+05:30
1540,0.429343,StratGem,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 14:57:47+05:30
1541,0.428571,Express,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 17:45:12+05:30
1542,0.426814,abhishekd.7006,"Indian Institute of Technology (IIT), Guwahati",2026-07-01 13:43:45+05:30
1543,0.426443,Matrix,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 18:01:16+05:30
1544,0.426429,Proximity,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:19:02+05:30
1545,0.426071,synergy 3,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 18:23:11+05:30
1546,0.425086,mayank.250102198,"Indian Institute of Management (IIM), Mumbai",2026-07-02 17:13:05+05:30
1547,0.424957,Hivemind Strategy,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-03 23:49:18+05:30
1548,0.424657,Triple Threat,"Indian Institute of Management (IIM), Mumbai",2026-07-01 22:51:29+05:30
1549,0.423629,The Nexus,"Indian Institute of Management (IIM), Mumbai",2026-07-01 10:52:18+05:30
1550,0.423371,pgp41389,"Indian Institute of Management (IIM), Lucknow",2026-07-03 23:36:17+05:30
1551,0.423071,rajsabhinav,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 14:18:57+05:30
1552,0.421043,varnima.agarwal26,"Indian Institute of Management (IIM), Bangalore",2026-07-04 19:37:35+05:30
1553,0.4196,pgp41364,"Indian Institute of Management (IIM), Lucknow",2026-07-04 04:01:18+05:30
1554,0.419314,smth,"Indian Institute of Technology (IIT), Madras",2026-07-03 18:21:21+05:30
1555,0.4193,gta6,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 13:57:51+05:30
1556,0.4191,Team Spawns,"Indian Institute of Technology (IIT), Madras",2026-07-02 22:58:18+05:30
1557,0.4179,Transaction Titans,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-03 21:32:45+05:30
1559,0.416957,ch25btech11039,"Indian Institute of Technology (IIT), Hyderabad",2026-07-01 15:21:52+05:30
1560,0.414729,dipak.mandalsnsk,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 12:18:07+05:30
1561,0.410286,Beyond KPIs,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-06-30 00:42:48+05:30
1562,0.408914,p25vyom,"Indian Institute of Management (IIM), Ahmedabad",2026-07-03 22:22:43+05:30
1563,0.408614,parshv_ms,"Indian Institute of Technology (IIT), Roorkee",2026-06-27 10:55:44+05:30
1564,0.408114,imroshani2004,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 13:50:13+05:30
1565,0.407857,vageesha.taluja728,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 19:08:37+05:30
1566,0.4074,The real nerds,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 11:47:12+05:30
1567,0.406943,Wargoats,"Indian Institute of Technology (IIT), Mandi",2026-06-30 23:38:49+05:30
1568,0.405557,HERCULES,"Xavier School of Management (XLRI), Delhi",2026-07-04 12:15:57+05:30
1569,0.4041,priyanshu.sawarkar27,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-03 08:57:18+05:30
1570,0.403014,Symphony,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 16:09:25+05:30
1571,0.402743,K228230,"Indian Institute of Technology (IIT), Hyderabad",2026-06-27 19:43:28+05:30
1572,0.399357,Team Titan,"Indian Institute of Management (IIM), Mumbai",2026-07-01 00:36:31+05:30
1573,0.399243,Top line,"Indian Institute of Management (IIM), Kozhikode",2026-07-02 02:02:15+05:30
1574,0.397929,sai.praneeth.260102091,"Indian Institute of Management (IIM), Mumbai",2026-07-01 21:16:15+05:30
1575,0.397486,Vivek.Raju,"Indian Institute of Technology (IIT), Madras",2026-07-03 14:06:23+05:30
1576,0.395,Logic_Legends,"Indian Institute of Technology (IIT), Indore",2026-07-04 16:13:45+05:30
